product_number,name,unit,source_field_name,source_qid,source_label
448257,"Håndklæderulle Katrin Classic S, 1 lag 116m u/hylse",m,handklaederulleKatrin,153,"Håndklæderulle Katrin Classic S, 1 lag 116m u/hylse - Varenr. 448257"
454210,"Vikan Støvkost.",stk,vikanStovkost,117,"Vikan Støvkost. Varenr. 454210"
472193,"Toiletpapir, Tork T9 smartone mini",stk,toiletpapirTork167,167,"Toiletpapir, Tork T9 smartone mini - Varenr. 472193"
520501,"Tork Mild skumsæbe - 1 liter S4",stk,totalLuksus135,135,"Tork Mild skumsæbe - 1 liter S4 - Varenr. 520501"
6634,"Poser LD 530x780 hvid 45L",ltr,poserLd,159,"Poser LD 530x780 hvid 45L - Varenr. 6634"
6749-1,"Poser HD Affaldspose, sort 20L",ltr,poserHd,162,"Poser HD Affaldspose, sort 20L - Varenr. 6749-1"
7513553,"Suma Inox Metalpolish D7.1",stk,sumaInox,140,"Suma Inox Metalpolish D7.1 Varenr. 7513553"
7516652,"Suma Select Pur-Eco Afspædningsmiddel A7 5 liter",stk,sumaSelect,168,"Suma Select Pur-Eco Afspædningsmiddel A7 5 liter - varenr. 7516652"
7521559,"SUN Prof All in 1 Eco opvasketabs 100 stk.",stk,affladssaekKlar111,111,"SUN Prof All in 1 Eco opvasketabs 100 stk. Varenr.  7521559"
88888,"Total Afspænding, 1 L.",ltr,sunProf,112,"Total Afspænding, 1 L. Varenr. 88888"
ABN6659,"Barrierecreme Skincare Ointment, parfumefri, 75 ml.",ml,toiletStick74,74,"Barrierecreme Skincare Ointment, parfumefri, 75 ml. Varenr. ABN6659"
AU170009,"Tom sprayflaske 750 ml.",ml,tomSprayflaske,80,"Tom sprayflaske 750 ml. Varenr. AU170009"
IFS1LTFSC,"Instant Foam Hånddesinektion patroner, 1L.",ltr,handdesinfektionPlum125,125,"Instant Foam Hånddesinektion patroner, 1L. Varenr. IFS1LTFSC"
J221833,"Kiehl Parketto-clean Universalrengøring til Trægulv/Laminat 1 ltr.",ltr,kiehlParkettoclean,63,"Kiehl Parketto-clean Universalrengøring til Trægulv/Laminat 1 ltr. Varenr. J221833"
J251007,"Kiehl Profless Konzentrat universal 1 ltr.",ltr,kiehlProfless,61,"Kiehl Profless Konzentrat universal 1 ltr. Varenr. J251007"
J251502,"Kiehl Veriprop gulvrengøring 1 ltr.",ltr,kiehlVeriprop,62,"Kiehl Veriprop gulvrengøring 1 ltr. Varenr. J251502"
J252302,"Kiehl Econa balance universalrengøringsmiddel, 1l",ltr,kiehlEcona,169,"Kiehl Econa balance universalrengøringsmiddel, 1l - varenr. J252302"
J2525K2,"Kiehl GlasQueen m/spray 500 ml.",ml,kiehlParkettoclean64,64,"Kiehl GlasQueen m/spray 500 ml. Varenr. J2525K2"
J400601,"Kiehl Powerfix-Gel Toiletrens 1 ltr.",ltr,kiehlPowerfixgel106,106,"Kiehl Powerfix-Gel Toiletrens 1 ltr. Varenr. J400601"
J401533,"Kiehl SanEco sanitetsrengøring m. farve & parfume - 1 ltr.",ltr,kiehlPowerfixgel,59,"Kiehl SanEco sanitetsrengøring m. farve & parfume - 1 ltr. Varenr. J401533"
J551432,"Kiehl Vinox-eco kalk- og fedtfjerner 1 ltr.",ltr,kiehlVinoxeco,65,"Kiehl Vinox-eco kalk- og fedtfjerner 1 ltr. Varenr. J551432"
KZ1470-05,"Målebæger, 500 ml, blød plast.",ml,malebaeger500,79,"Målebæger, 500 ml, blød plast. Varenr. KZ1470-05"
